author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
SPENСER ESTATE;real_estate_agent;https://www.cian.ru/rent/flat/296407784/;Москва;rent;flat;5;12;3;115.0;250000;0;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/300115815/;Москва;rent;flat;5;6;3;110.0;280000;0;Якиманка; Большая Полянка;61С2;Добрынинская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/300812824/;Москва;rent;flat;8;8;3;63.0;60000;0;Бибирево; Пришвина;21;Бибирево;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/300299390/;Москва;rent;flat;8;25;3;75.0;110000;0;Куркино;Соколово-Мещерская ;31;Молжаниново;
Михаил Гладков;realtor;https://www.cian.ru/rent/flat/300745047/;Москва;rent;flat;11;22;3;87.0;199000;0;Дмитровский;Дмитровское шоссе;107Ак1;Яхромская;
Артем Дроздов;realtor;https://www.cian.ru/rent/flat/302086665/;Москва;rent;flat;8;16;3;60.0;50000;0;Матушкино;Зеленоград;к450;Зеленоград — Крюково;
Корона;real_estate_agent;https://www.cian.ru/rent/flat/201239213/;Москва;rent;flat;6;30;3;168.0;350000;0;Щукино;Авиационная ;79А;Щукинская;
Balmonte;real_estate_agent;https://www.cian.ru/rent/flat/297057067/;Москва;rent;flat;3;9;3;101.0;280000;0;Пресненский;Малая Никитская ;16/5;Баррикадная;
Любовь Пандурова;realtor;https://www.cian.ru/rent/flat/251517589/;Москва;rent;flat;1;3;3;65.0;60000;0;;;;Коммунарка;
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/293657397/;Москва;rent;flat;2;6;3;65.0;350000;0;Пресненский;Большая Бронная ;8;Пушкинская;
Balmonte;real_estate_agent;https://www.cian.ru/rent/flat/298795952/;Москва;rent;flat;3;15;3;80.0;270000;0;Замоскворечье;Большой Строченовский переулок;9;Павелецкая;
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/302293000/;Москва;rent;flat;7;25;3;83.0;60000;0;; Авиаконструктора Петлякова;31;Пыхтино;
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/299842408/;Москва;rent;flat;7;10;3;120.0;430000;0;Крылатское; Крылатские Холмы;47;Крылатское;
Антон Черников;realtor;https://www.cian.ru/rent/flat/297580366/;Москва;rent;flat;25;78;3;96.7;390000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;
ID 57412927;homeowner;https://www.cian.ru/rent/flat/301595133/;Москва;rent;flat;3;17;3;72.1;105000;0;Обручевский; Воронцовские Пруды;9;Новаторская;
Алла Баранова;realtor;https://www.cian.ru/rent/flat/256261694/;Москва;rent;flat;18;33;3;135.0;200000;0;Тропарево-Никулино;проспект Вернадского;94к2;Тропарёво;
Balmonte;real_estate_agent;https://www.cian.ru/rent/flat/301183889/;Москва;rent;flat;10;17;3;87.0;300000;0;Беговой;Северный ао;к3;Белорусская;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302485403/;Москва;rent;flat;13;17;3;80.0;70000;0;Зябликово; Мусы Джалиля;2К2;Борисово;
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/168294004/;Москва;rent;flat;11;12;3;155.0;250000;0;Замоскворечье;Климентовский переулок;2;Новокузнецкая;
Антон Черников;realtor;https://www.cian.ru/rent/flat/297580673/;Москва;rent;flat;45;85;3;190.7;450000;0;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;
ID 79834737;homeowner;https://www.cian.ru/rent/flat/302493786/;Москва;rent;flat;11;14;3;88.5;130000;0;Солнцево;Боровское шоссе;2к6;Говорово;
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/262167848/;Москва;rent;flat;2;24;3;120.0;200000;0;Проспект Вернадского; Удальцова;69;Проспект Вернадского;
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/298641810/;Москва;rent;flat;10;12;3;130.0;270000;0;Замоскворечье;Климентовский переулок;2;Новокузнецкая;
Игорь Довгань;realtor;https://www.cian.ru/rent/flat/302478789/;Москва;rent;flat;6;9;3;60.0;74000;0;Новогиреево;Братская ;19К1;Перово;
Ashtons International Realty;real_estate_agent;https://www.cian.ru/rent/flat/301210124/;Москва;rent;flat;7;22;3;175.0;330000;0;Пресненский;Шмитовский проезд;16С1;Улица 1905 года;
Selenahome;real_estate_agent;https://www.cian.ru/rent/flat/301344420/;Москва;rent;flat;5;12;3;115.0;250000;0;Дорогомилово;Кутузовский проспект;30;Кутузовская;
ID 220285;realtor;https://www.cian.ru/rent/flat/296327407/;Москва;rent;flat;9;17;3;75.0;85000;0;Коптево;проезд Черепановых;38к1;Коптево;
Veles Realty;real_estate_agent;https://www.cian.ru/rent/flat/301837027/;Москва;rent;flat;5;12;3;115.0;250000;0;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Delight  Realty;real_estate_agent;https://www.cian.ru/rent/flat/298218642/;Москва;rent;flat;6;13;3;87.0;179000;0;Тропарево-Никулино;проспект Вернадского;94к2;Тропарёво;
МОЯ СТОЛИЦА;real_estate_agent;https://www.cian.ru/rent/flat/280779965/;Москва;rent;flat;5;9;3;64.6;65000;0;Северное Медведково;проезд Шокальского;59К1;Медведково;
Ashtons International Realty;real_estate_agent;https://www.cian.ru/rent/flat/294289464/;Москва;rent;flat;2;19;3;120.0;250000;0;Даниловский; Серпуховский Вал;21к1;Шаболовская;
ID 43278303;realtor;https://www.cian.ru/rent/flat/302419300/;Москва;rent;flat;4;14;3;81.0;70000;0;Новокосино;Суздальская ;22К1;Новокосино;
Олеся Алферова;realtor;https://www.cian.ru/rent/flat/302197257/;Москва;rent;flat;6;17;3;74.0;65000;0;Митино;Пятницкое шоссе;9;Волоколамская;
RENT_BAND;real_estate_agent;https://www.cian.ru/rent/flat/302194258/;Москва;rent;flat;12;25;3;65.0;110000;0;Проспект Вернадского; Удальцова;50;Мичуринский проспект;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302441702/;Москва;rent;flat;4;5;3;60.0;70000;0;Головинский;Кронштадтский бульвар;21;Водный стадион;
Ваши Соседи;real_estate_agent;https://www.cian.ru/rent/flat/302283856/;Москва;rent;flat;4;9;3;57.6;60000;0;Восточное Дегунино;Дубнинская ;16К1;Дегунино;
ID 96800578;unknown;https://www.cian.ru/rent/flat/301997236/;Москва;rent;flat;5;17;3;67.9;330000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская;
ID 12386065;realtor;https://www.cian.ru/rent/flat/302051880/;Москва;rent;flat;2;14;3;78.0;95000;0;; Татьянин Парк;16к2;Говорово;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/299638385/;Москва;rent;flat;10;12;3;65.0;60000;0;Бибирево; Лескова;6;Алтуфьево;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302356964/;Москва;rent;flat;1;9;3;70.0;70000;0;Выхино-Жулебино;Ферганский проезд;3К2;Юго-Восточная;
ID 16396989;unknown;https://www.cian.ru/rent/flat/297486989/;Москва;rent;flat;4;12;3;80.0;100000;0;Нижегородский;Нижегородская ;70К1;Калитники;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/rent/flat/302397002/;Москва;rent;flat;15;16;3;65.0;70000;0;Южное Бутово; Поляны;5Ак1;Улица Скобелевская;
ID 96800578;unknown;https://www.cian.ru/rent/flat/301997670/;Москва;rent;flat;3;17;3;67.4;330000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская;
ID 314160;unknown;https://www.cian.ru/rent/flat/301411685/;Москва;rent;flat;21;42;3;98.0;250000;0;Раменки; Лобачевского;120к1;Аминьевская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302284595/;Москва;rent;flat;2;16;3;70.0;75000;0;Бабушкинский;Печорская ;11;Бабушкинская;
Flat One;real_estate_agent;https://www.cian.ru/rent/flat/302442359/;Москва;rent;flat;52;78;3;116.0;500000;0;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;
ID 6898282;unknown;https://www.cian.ru/rent/flat/301598965/;Москва;rent;flat;6;12;3;78.0;130000;0;Раменки;Мосфильмовская ;11к3;Ломоносовский проспект;
Галина Стеблякова;realtor;https://www.cian.ru/rent/flat/302485545/;Москва;rent;flat;3;12;3;67.0;68000;0;Перово;Мартеновская ;13;Новогиреево;
ID 10489468;realtor;https://www.cian.ru/rent/flat/296533324/;Москва;rent;flat;17;28;3;66.7;95000;0;Фили-Давыдково;Славянский бульвар;9к6;Славянский бульвар;
ID 58694;realtor;https://www.cian.ru/rent/flat/302348314/;Москва;rent;flat;8;57;3;120.0;285000;0;Хорошевский;Чапаевский переулок;3;Аэропорт;
Ольга Полетаева;realtor;https://www.cian.ru/rent/flat/302453067/;Москва;rent;flat;4;12;3;64.0;60000;0;Отрадное;Алтуфьевское шоссе;18В;Отрадное;
SKYLINE MOSCOW CITY;real_estate_agent;https://www.cian.ru/rent/flat/297818024/;Москва;rent;flat;71;95;3;150.0;600000;0;Пресненский;набережная Пресненская;12;Деловой центр;
